,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice,NridgHt,VinylSd,VinylSd.1,Stone.2,Unknown,Gd,TA,CBlock.2,PConc,Gd.2,TA.2,GLQ,TA.4,Y,Gd.6,TA.5,Attchd,Detchd,Unf.2,Y.1,New,Partial,SalePrice
0,6,-0.3665438531284814,-1.1573393832756873,0.48663569583334676,1.359137803473135,1.0279692431023462,0.8548078967534645,-0.10701392803209915,1,6,0,-0.7647460006288916,-0.9072202168775808,-0.633065322547137,3.1745192948251653,0.15480183815395576,172000,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,172000
1,5,0.9375640884385711,0.7342132222217709,-0.6008912727416957,1.019002210492867,-0.10888332109435131,-0.49174307420133423,0.6852144125984897,2,6,1,0.7609714804910958,0.511830869888621,0.28389050836942276,1.358454521603208,0.10286952672304389,189900,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,189900
2,6,0.9710027536069571,0.7342132222217709,-0.3994973896722434,0.5319898841802106,-0.11455340869632985,-0.49845903914375217,0.6191953842126073,2,7,1,0.8000924415454544,0.511830869888621,0.2191642144223715,2.8434135626907753,0.15480183815395576,195500,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,195500
3,8,1.071318749112115,0.8760796676340803,-0.6008912727416957,0.5680648713144816,1.0534846373112496,0.8850297389943452,-0.0832470778131815,2,6,0,0.9174553247085303,0.511830869888621,0.8232762912615168,-0.7686489696843887,-0.7799797676024581,213500,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,213500
4,8,0.7703707625966413,0.45048033139715216,-0.6008912727416957,-0.34154016142820465,0.889052096853872,0.6902667556642247,-0.23641122366842868,2,5,0,0.5653666752193025,0.511830869888621,0.41334309626352533,-0.7686489696843887,1.349245001064929,191500,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,191500
5,7,1.004441418775343,0.7815020373592074,-0.6008912727416957,-1.0192345625934354,0.07822956977094056,-0.1559448270804368,1.1473476112996666,2,7,1,0.839213402599813,0.511830869888621,0.0681361952125852,0.636042015128175,0.7779895753248983,189000,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,189000
6,6,0.8038094277650273,0.5450579616720251,-0.6008912727416957,-1.0192345625934354,-0.576665548257581,-1.045810181950815,0.7538742021198074,2,7,1,0.6044876362736611,0.511830869888621,0.05734847955474331,0.8066116347125578,1.4011773124958409,175900,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,175900
7,6,0.9710027536069571,0.7342132222217709,-0.6008912727416957,-1.0192345625934354,-0.50295440943186,-0.9585026376993817,0.25212958638710115,2,7,1,0.8000924415454544,0.511830869888621,-0.19616283840454085,-0.7686489696843887,1.1674819110567374,180400,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,180400
8,7,0.7034934322598694,0.3559027011222793,-0.6008912727416957,0.6221773520158878,0.9457529728736574,0.8951036864079721,-0.0753247944068756,1,5,1,0.4871247531105852,0.511830869888621,0.41334309626352533,1.1577843809156987,-0.7799797676024581,171500,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,171500
9,8,0.5363001064179396,0.11945862543509697,-0.6008912727416957,-0.07097775792117336,1.4787412074596402,1.435738864272617,0.3498377483982071,1,4,0,0.2915199478387919,0.511830869888621,0.532007968499786,-0.7686489696843887,0.6221926410321627,212000,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,212000
