,Land Contour,Utilities,Overall Qual,Overall Cond,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,SalePrice,BsmtFin SF 2_0,Low Qual Fin SF_0,Street_pave,Lot Shape_Reg,CulDSac,FR2,FR3,Inside,Mod,Sev,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,Greens,GrnHill,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,Feedr,Norm,PosA,PosN,RRAe,RRAn,RRNe,RRNn,Feedr.1,Norm.1,PosN.1,RRNn.1,2fmCon,Duplex,Twnhs,TwnhsE,1.5Unf,1Story,2.5Fin,2.5Unf,2Story,SFoyer,SLvl,Gable,Gambrel,Hip,Mansard,Shed,Tar&Grv,WdShake,WdShngl,AsphShn,BrkComm,BrkFace,CBlock,CemntBd,HdBoard,ImStucc,MetalSd,Plywood,PreCast,Stone,Stucco,VinylSd,Wd Sdng,WdShing,AsphShn.1,Brk Cmn,BrkFace.1,CBlock.1,CmentBd,HdBoard.1,ImStucc.1,MetalSd.1,Other,Plywood.1,PreCast.1,Stone.1,Stucco.1,VinylSd.1,Wd Sdng.1,Wd Shng,BrkFace.2,Stone.2,Unknown,Fa,Gd,TA,Fa.1,Gd.1,Po,TA.1,CBlock.2,PConc,Slab,Stone.3,Wood,Fa.2,Gd.2,Po.1,TA.2,Fa.3,Gd.3,Po.2,TA.3,Gd.4,Mn,No,BLQ,GLQ,LwQ,Rec,Unf,BLQ.1,GLQ.1,LwQ.1,Rec.1,Unf.1,GasA,GasW,Grav,OthW,Wall,Fa.4,Gd.5,Po.3,TA.4,Y,FuseF,FuseP,Mix,SBrkr,Fa.5,Gd.6,Po.4,TA.5,Maj2,Min1,Min2,Mod.1,Sal,Sev.1,Typ,Attchd,Basment,BuiltIn,CarPort,Detchd,RFn,Unf.2,Fa.6,Gd.7,Po.5,TA.6,Fa.7,Gd.8,Po.6,TA.7,P,Y.1,CWD,Con,ConLD,ConLI,ConLw,New,Oth,VWD,WD ,AdjLand,Alloca,Family,Normal,Partial,MS SubClass,Lot Frontage,Lot Area,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold
0,3,1,6,6,1,1,3,1,6,0,172000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.8775980899437384,0.8372879833360988,1.6798848337092058,-0.3665438531284814,-1.1573393832756873,0.48663569583334676,1.359137803473135,-0.2986617452449135,-0.2966956681334233,1.0279692431023462,0.8548078967534645,-0.7729628923818498,-0.09256552112641839,-0.10701392803209915,-0.7839495748495232,-0.2558247127900895,-0.7647460006288916,-0.9072202168775808,-0.633065322547137,3.1745192948251653,0.15480183815395576,-0.05169429007472805,1.66106720309472
1,3,1,5,5,2,1,3,1,6,1,189900,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.05575725097940324,0.43722869111965545,1.5428183151631334,0.9375640884385711,0.7342132222217709,-0.6008912727416957,1.019002210492867,-0.2986617452449135,-0.9724054484449838,-0.10888332109435131,-0.49174307420133423,1.0896314036877601,-0.09256552112641839,0.6852144125984897,-0.7839495748495232,-0.2558247127900895,0.7609714804910958,0.511830869888621,0.28389050836942276,1.358454521603208,0.10286952672304389,-1.175791695817341,1.66106720309472
2,3,1,6,6,2,1,3,1,7,1,195500,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.05575725097940324,0.665834000957623,0.3346255704503858,0.9710027536069571,0.7342132222217709,-0.3994973896722434,0.5319898841802106,-0.2986617452449135,-0.5026741141763525,-0.11455340869632985,-0.49845903914375217,1.0285191799936073,-0.09256552112641839,0.6191953842126073,-0.7839495748495232,-0.2558247127900895,0.8000924415454544,0.511830869888621,0.2191642144223715,2.8434135626907753,0.15480183815395576,-0.05169429007472805,1.66106720309472
3,3,1,8,5,2,0,2,1,6,0,213500,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.4557902623641157,-1.4487651150435772,-1.2518331270462593,1.071318749112115,0.8760796676340803,-0.6008912727416957,0.5680648713144816,-0.2986617452449135,0.49707492881249915,1.0534846373112496,0.8850297389943452,-0.7729628923818498,-0.09256552112641839,-0.0832470778131815,1.174158710078678,-0.2558247127900895,0.9174553247085303,0.511830869888621,0.8232762912615168,-0.7686489696843887,-0.7799797676024581,-0.8010925605698034,1.66106720309472
4,2,1,8,5,2,0,2,1,5,0,191500,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.4557902623641157,-1.3344624601245934,-1.2251725914022864,0.7703707625966413,0.45048033139715216,-0.6008912727416957,-0.34154016142820465,-0.2986617452449135,1.238094948113281,0.889052096853872,0.6902667556642247,-0.7729628923818498,-0.09256552112641839,-0.23641122366842868,-0.7839495748495232,-0.2558247127900895,0.5653666752193025,0.511830869888621,0.41334309626352533,-0.7686489696843887,1.349245001064929,-1.9251899663124166,1.66106720309472
5,3,1,7,5,2,1,3,1,7,1,189000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.05575725097940324,-0.3628898933132311,-0.442607456911553,1.004441418775343,0.7815020373592074,-0.6008912727416957,-1.0192345625934354,-0.2986617452449135,1.1803205059305082,0.07822956977094056,-0.1559448270804368,1.2889103939947797,-0.09256552112641839,1.1473476112996666,-0.7839495748495232,-0.2558247127900895,0.839213402599813,0.511830869888621,0.0681361952125852,0.636042015128175,0.7779895753248983,-0.05169429007472805,1.66106720309472
6,3,1,6,5,2,1,3,1,7,1,175900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.05575725097940324,0.4943800185791474,0.34152594438176703,0.8038094277650273,0.5450579616720251,-0.6008912727416957,-1.0192345625934354,-0.2986617452449135,0.6000641518339638,-0.576665548257581,-1.045810181950815,1.5971285656696366,-0.09256552112641839,0.7538742021198074,-0.7839495748495232,-0.2558247127900895,0.6044876362736611,0.511830869888621,0.05734847955474331,0.8066116347125578,1.4011773124958409,-0.8010925605698034,1.66106720309472
7,3,1,6,5,2,1,3,1,7,1,180400,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.05575725097940324,-0.19143591093475543,-0.15969212572492314,0.9710027536069571,0.7342132222217709,-0.6008912727416957,-1.0192345625934354,-0.2986617452449135,0.6653743908231852,-0.50295440943186,-0.9585026376993817,1.0232050735854201,-0.09256552112641839,0.25212958638710115,-0.7839495748495232,-0.2558247127900895,0.8000924415454544,0.511830869888621,-0.19616283840454085,-0.7686489696843887,1.1674819110567374,-0.42639342532226576,1.66106720309472
8,3,1,7,5,1,1,2,1,5,1,171500,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.8775980899437384,1.0658932931740663,0.39672893583281676,0.7034934322598694,0.3559027011222793,-0.6008912727416957,0.6221773520158878,-0.2986617452449135,0.34887092495234273,0.9457529728736574,0.8951036864079721,-0.7729628923818498,-0.09256552112641839,-0.0753247944068756,1.174158710078678,-0.2558247127900895,0.4871247531105852,0.511830869888621,0.41334309626352533,1.1577843809156987,-0.7799797676024581,-1.5504908310648788,1.66106720309472
9,3,1,8,5,1,1,1,1,4,0,212000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.4557902623641157,0.1643076798253931,-0.6558917420633361,0.5363001064179396,0.11945862543509697,-0.6008912727416957,-0.07097775792117336,6.867604661280773,-1.3165401692728047,1.4787412074596402,1.435738864272617,-0.7729628923818498,-0.09256552112641839,0.3498377483982071,1.174158710078678,-0.2558247127900895,0.2915199478387919,0.511830869888621,0.532007968499786,-0.7686489696843887,0.6221926410321627,-0.05169429007472805,1.66106720309472
